Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
XGBOOST,ohlc,extended,short,0.77,0.16814837483026798,0.6095238095238096,0.012728719172633254,0.0015316788224429886,-0.0007947769649070796,0.561038961038961,0.04164256795835743,-5.275781965736863e-06,experiments/experiment_time/models/xgboost_short_ohlc_extended.pkl
XGBOOST,ohlc,raw,short,0.7030000000000001,-0.04438020915296504,0.5425531914893617,0.010143198090692125,-0.0002879445671811009,0.14249052902766463,0.5573505654281099,0.06651243493348756,0.0008948802907239197,experiments/experiment_time/models/xgboost_short_ohlc_raw.pkl
LGBM,ohlc,extended,short,0.757,0.17206777738782042,0.6181818181818182,0.006762132060461416,0.0014175129648870536,-0.05427071777500318,0.5506607929515418,0.024098708309234624,-0.00042231493352612475,experiments/experiment_time/models/lgbm_short_ohlc_extended.pkl
LOGISTIC,ohlc,raw,short,0.763,0.04029708940630962,0.5242463958060288,0.07955449482895784,0.00037255011884278384,0.0037261438058150713,0.5416285452881976,0.11413148255253519,2.6605575802710603e-05,experiments/experiment_time/models/logistic_short_ohlc_raw.pkl
LOGISTIC,ohlc,extended,short,0.682,0.05632852203050326,0.5266617969320672,0.1433969769291965,0.000589117240130651,0.005543289768220601,0.5299960270162892,0.25718141507615194,3.7209503342362266e-05,experiments/experiment_time/models/logistic_short_ohlc_extended.pkl
LOGISTIC,candle,extended,short,0.604,0.0007681133993393516,0.5120385232744783,0.3172235481304694,6.9353727403155294e-06,0.0014820202297688354,0.5115691230799144,0.5072296124927704,1.0467390215596817e-05,experiments/experiment_time/models/logistic_short_candle_extended.pkl
XGBOOST,candle,extended,short,0.786,0.24463258427184817,0.5849056603773585,0.006165473349244232,0.002057808753103712,0.0061011283046186245,0.5087719298245614,0.011181800655484866,3.3339548883267946e-05,experiments/experiment_time/models/xgboost_short_candle_extended.pkl
LGBM,candle,extended,short,0.75,0.17615952069898871,0.627906976744186,0.010739856801909307,0.0013819168899354172,-0.039825272659866046,0.5057803468208093,0.033738191632928474,-0.00024829167244799007,experiments/experiment_time/models/lgbm_short_candle_extended.pkl
LGBM,ohlc,raw,short,0.722,0.09030141933781657,0.6506024096385542,0.010739856801909307,0.0004670807757930241,-0.010613293075440523,0.5042735042735043,0.11374590321958743,-6.889500544183508e-05,experiments/experiment_time/models/lgbm_short_ohlc_raw.pkl
XGBOOST,candle,raw,short,0.678,0.12167760398786515,0.5380434782608695,0.03937947494033413,0.0010940261075435083,-0.026718009585966974,0.4946879150066401,0.14362830152303838,-0.0001688740300595211,experiments/experiment_time/models/xgboost_short_candle_raw.pkl
LGBM,candle,raw,short,0.745,0.028247559865612327,0.5357142857142857,0.0059665871121718375,0.00028614844864699847,0.03405622095838727,0.475177304964539,0.02583381530749952,0.00023705398973997288,experiments/experiment_time/models/lgbm_short_candle_raw.pkl
LOGISTIC,candle,raw,short,0.96,0.03813883174784014,0.5373134328358209,0.007159904534606206,0.0004601970334269118,-0.2132243619324474,0.34615384615384615,0.003470213996529786,-0.0014890635407895753,experiments/experiment_time/models/logistic_short_candle_raw.pkl
