Model,InputType,FeatureType,Strategy,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Alpha
XGBOOST,ohlc,extended,long,0.21,63.07%,8.06%,0.188%,0.07,59.05%,5.51%,0.057%,0.64
XGBOOST,candle,extended,long,0.12,61.88%,8.36%,0.128%,0.1,58.02%,5.84%,0.091%,0.66
LGBM,ohlc,extended,long,0.16,61.51%,8.53%,0.155%,0.05,57.79%,7.13%,0.046%,0.63
LOGISTIC,ohlc,extended,long,0.09,58.44%,8.66%,0.12%,0.12,56.45%,4.46%,0.117%,0.62
LGBM,candle,extended,long,0.06,59.34%,8.0%,0.063%,-0.01,56.1%,7.42%,-0.006%,0.64
LOGISTIC,ohlc,raw,long,0.19,57.41%,8.1%,0.308%,0.01,54.01%,5.44%,0.016%,0.58
LOGISTIC,candle,raw,long,0.13,57.41%,8.75%,0.204%,0.01,52.95%,6.73%,0.008%,0.61
LOGISTIC,candle,extended,long,0.06,57.43%,10.6%,0.081%,-0.03,51.01%,6.8%,-0.027%,0.63
LGBM,ohlc,raw,long,0.0,51.9%,10.45%,0.002%,-0.01,50.64%,3.8%,-0.005%,0.57
XGBOOST,ohlc,raw,long,0.03,54.74%,11.96%,0.026%,0.02,50.14%,7.01%,0.016%,0.56
XGBOOST,candle,raw,long,0.02,52.57%,9.53%,0.017%,-0.02,49.39%,10.07%,-0.013%,0.6
LGBM,candle,raw,long,0.04,53.13%,8.71%,0.044%,-0.03,46.96%,7.26%,-0.027%,0.61
