Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
XGBOOST,candle,extended,long,0.672,0.21855062680102527,0.6124620060790273,0.08413361169102296,0.002032705745332001,0.1259054970754498,0.5865257595772787,0.09544282029234738,0.0011185517399981402,experiments/experiment_volume/models/xgboost_long_candle_extended.pkl
LGBM,ohlc,extended,long,0.647,0.27824006840174814,0.6182728410513142,0.10313152400835073,0.002863030684983598,0.052430587716730925,0.5809414466130884,0.10877042132416165,0.00042195584528475496,experiments/experiment_volume/models/lgbm_long_ohlc_extended.pkl
XGBOOST,ohlc,extended,long,0.681,0.2156962684347712,0.5869074492099323,0.10855949895615867,0.0024413211129930535,0.04366199160661927,0.5765575501583949,0.1173688736027515,0.0003392484961146108,experiments/experiment_volume/models/xgboost_long_ohlc_extended.pkl
LGBM,candle,extended,long,0.661,0.2048504477469405,0.6317512274959084,0.08058455114822546,0.0016681324083338152,0.07847731442209455,0.5669291338582677,0.07738607050730868,0.0005748088426138193,experiments/experiment_volume/models/lgbm_long_candle_extended.pkl
LOGISTIC,ohlc,raw,long,0.662,0.2706885039139261,0.6061538461538462,0.08225469728601252,0.003719266896934511,0.012110370792422102,0.5543964232488823,0.07996560619088564,0.00012222568950828825,experiments/experiment_volume/models/logistic_long_ohlc_raw.pkl
LOGISTIC,ohlc,extended,long,0.628,0.08854677903203204,0.5654506437768241,0.11002087682672233,0.0009289506585859025,0.044677636022958,0.5520082389289392,0.11521926053310404,0.0004109727947925115,experiments/experiment_volume/models/logistic_long_ohlc_extended.pkl
LOGISTIC,candle,raw,long,0.686,0.12727065217777106,0.5801886792452831,0.10271398747390396,0.0017398576445654286,0.009879200708502,0.5431131019036954,0.10425623387790198,9.450101777269551e-05,experiments/experiment_volume/models/logistic_long_candle_raw.pkl
LOGISTIC,candle,extended,long,0.6950000000000001,0.08842211931576292,0.5595567867036011,0.08434237995824635,0.0010301240765804342,0.030640471258727677,0.5252659574468085,0.08490971625107481,0.0002764118030529853,experiments/experiment_volume/models/logistic_long_candle_extended.pkl
LGBM,ohlc,raw,long,0.578,0.06299564884634873,0.532608695652174,0.09206680584551148,0.00042364833824178917,-0.03471660351414908,0.5073746312684366,0.11092003439380911,-0.0002621344179627792,experiments/experiment_volume/models/lgbm_long_ohlc_raw.pkl
XGBOOST,candle,raw,long,0.623,0.020441995901525786,0.5239616613418531,0.10271398747390396,0.00018799494709485437,-0.01838186308763082,0.5034146341463415,0.11092003439380911,-0.00016810923942275514,experiments/experiment_volume/models/xgboost_long_candle_raw.pkl
LGBM,candle,raw,long,0.607,0.07695518850961912,0.5479302832244008,0.10501043841336116,0.0006926299792268869,-0.01959827064802406,0.5028571428571429,0.11349957007738606,-0.00016110500073160885,experiments/experiment_volume/models/lgbm_long_candle_raw.pkl
XGBOOST,ohlc,raw,long,0.632,0.038549424736852606,0.5368852459016393,0.08204592901878914,0.00042924140619232784,-0.04247834772726661,0.48905109489051096,0.10081685296646603,-0.00036441930436396946,experiments/experiment_volume/models/xgboost_long_ohlc_raw.pkl
XGBOOST,candle,extended,short,0.771,0.09191957075957405,0.6808510638297872,0.014359434597262733,0.0012784435446392334,0.07797025164764189,0.6153846153846154,0.013931214627775359,0.0005494727788383737,experiments/experiment_volume/models/xgboost_short_candle_extended.pkl
LGBM,candle,extended,short,0.747,0.22592534017252172,0.6619718309859155,0.010545209782364819,0.0022203140645786234,-0.025630692050424026,0.603448275862069,0.007618632999564649,-0.00024163367550492757,experiments/experiment_volume/models/lgbm_short_candle_extended.pkl
XGBOOST,ohlc,extended,short,0.6970000000000001,0.07355760324701373,0.5765199161425576,0.06170069553511331,0.0007078279986641478,0.08037096836717225,0.5833333333333334,0.08075750979538529,0.0006465950273513224,experiments/experiment_volume/models/xgboost_short_ohlc_extended.pkl
