Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
XGBOOST,candle,extended,short,0.771,0.09191957075957405,0.6808510638297872,0.014359434597262733,0.0012784435446392334,0.07797025164764189,0.6153846153846154,0.013931214627775359,0.0005494727788383737,experiments/experiment_volume/models/xgboost_short_candle_extended.pkl
LGBM,candle,extended,short,0.747,0.22592534017252172,0.6619718309859155,0.010545209782364819,0.0022203140645786234,-0.025630692050424026,0.603448275862069,0.007618632999564649,-0.00024163367550492757,experiments/experiment_volume/models/lgbm_short_candle_extended.pkl
XGBOOST,ohlc,extended,short,0.6970000000000001,0.07355760324701373,0.5765199161425576,0.06170069553511331,0.0007078279986641478,0.08037096836717225,0.5833333333333334,0.08075750979538529,0.0006465950273513224,experiments/experiment_volume/models/xgboost_short_ohlc_extended.pkl
LGBM,ohlc,extended,short,0.713,0.10784717444323287,0.6017699115044248,0.06102759703836661,0.001099604616392828,0.017903558246590966,0.553921568627451,0.04919460165433174,0.00016434387752972462,experiments/experiment_volume/models/lgbm_short_ohlc_extended.pkl
LOGISTIC,ohlc,raw,short,0.531,0.04755799679195854,0.5248267898383372,0.4078976890284945,0.00045979478481845943,0.02069026421104913,0.5279392042914618,0.5141488898563343,0.00015629899593435276,experiments/experiment_volume/models/logistic_short_ohlc_raw.pkl
LOGISTIC,ohlc,extended,short,0.859,0.21872203906096838,0.6226415094339622,0.007404083464213597,0.003511483159115995,0.06960637034110191,0.5161290322580645,0.0034828036569438396,0.0006652215623948913,experiments/experiment_volume/models/logistic_short_ohlc_extended.pkl
LOGISTIC,candle,raw,short,0.9500000000000001,0.2311785402136298,0.5882352941176471,0.006730984967466906,0.003249554361967813,-0.05472695481186993,0.5,0.0034828036569438396,-0.0006240630938812233,experiments/experiment_volume/models/logistic_short_candle_raw.pkl
LOGISTIC,candle,extended,short,0.861,0.23434781737105384,0.6,0.02288534888938748,0.0035880146163554164,0.014299628496811385,0.4744525547445255,0.014148889856334348,0.00010639801286604182,experiments/experiment_volume/models/logistic_short_candle_extended.pkl
LGBM,ohlc,raw,short,0.778,0.18695540415431086,0.6078431372549019,0.006955351133049136,0.0016133672988400873,0.06948982113954717,0.47244094488188976,0.013060513713539399,0.0006172772241837984,experiments/experiment_volume/models/lgbm_short_ohlc_raw.pkl
LGBM,candle,raw,short,0.66,0.04317004150564054,0.5147058823529411,0.039264078976890285,0.0004835753216830908,-0.017549466357340605,0.465564738292011,0.03678711362646931,-0.00015560286501851674,experiments/experiment_volume/models/lgbm_short_candle_raw.pkl
XGBOOST,candle,raw,short,0.747,0.12521059389311925,0.5636363636363636,0.006955351133049136,0.0011341530783344131,-0.11468162087304316,0.46218487394957986,0.011972137570744449,-0.0007143927524288165,experiments/experiment_volume/models/xgboost_short_candle_raw.pkl
XGBOOST,ohlc,raw,short,0.686,0.036479578317393846,0.5555555555555556,0.008974646623289208,0.00045938025196584013,-0.10946309864213703,0.4177777777777778,0.02046147148454506,-0.0007634952696031662,experiments/experiment_volume/models/xgboost_short_ohlc_raw.pkl
