Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
LOGISTIC,candle,raw,short,0.937,0.3524630383822635,0.5636363636363636,0.006955351133049136,0.00480974682182455,0.20035189381100557,0.6037735849056604,0.006965607313887679,0.0017694554310030042,experiments/experiment_volume_all_features/models/logistic_short_candle_raw.pkl
XGBOOST,candle,extended,short,0.807,-0.061946394430500755,0.576271186440678,0.007628449629795826,-0.0005454156518413701,0.1643200713175534,0.5816326530612245,0.012407488027862429,0.0016104431434885804,experiments/experiment_volume_all_features/models/xgboost_short_candle_extended.pkl
LOGISTIC,candle,extended,short,0.937,0.30665170137244463,0.5925925925925926,0.0071797172986313666,0.005724212978914777,0.06775319056936852,0.5660377358490566,0.006530256856769699,0.0005444157952747971,experiments/experiment_volume_all_features/models/logistic_short_candle_extended.pkl
LGBM,candle,raw,short,0.8170000000000001,-0.004156679873818472,0.6081081081081081,0.01009647745120036,-3.945754226878193e-05,-0.06893624110943697,0.5490196078431373,0.01828471919895516,-0.0006105238968866079,experiments/experiment_volume_all_features/models/lgbm_short_candle_raw.pkl
XGBOOST,ohlc,extended,short,0.754,0.20935660234361422,0.7115384615384616,0.016603096253085033,0.0013741097788226746,0.09694488491426852,0.542713567839196,0.023508924684370918,0.000671038213377829,experiments/experiment_volume_all_features/models/xgboost_short_ohlc_extended.pkl
LGBM,ohlc,extended,short,0.789,0.0985072967900235,0.6081081081081081,0.01009647745120036,0.0007935892720063633,-0.04378828766631784,0.5409836065573771,0.014366565084893338,-0.00035269146922348583,experiments/experiment_volume_all_features/models/lgbm_short_ohlc_extended.pkl
LGBM,candle,extended,short,0.791,-0.01070523499520285,0.6021505376344086,0.012564505272604892,-0.00012631673266821848,-0.11102104709336888,0.5363636363636364,0.012842838484980409,-0.0011963354997564079,experiments/experiment_volume_all_features/models/lgbm_short_candle_extended.pkl
LOGISTIC,ohlc,extended,short,0.856,0.27145618942657296,0.5754716981132075,0.013686336100516042,0.003369494545284673,0.0657582511260043,0.5350877192982456,0.013278188942098389,0.0005101791304318763,experiments/experiment_volume_all_features/models/logistic_short_ohlc_extended.pkl
XGBOOST,candle,raw,short,0.783,0.20263679862955,0.5686274509803921,0.013013237603769351,0.0016900780044887982,-0.021183970200499586,0.520891364902507,0.040705267740531126,-0.00014285273220471795,experiments/experiment_volume_all_features/models/xgboost_short_candle_raw.pkl
LOGISTIC,ohlc,raw,short,0.8140000000000001,0.18709556726301765,0.532258064516129,0.029616333856854388,0.0019490734699730095,-0.04627768106015277,0.511326860841424,0.034392686112320416,-0.0004176939756171051,experiments/experiment_volume_all_features/models/logistic_short_ohlc_raw.pkl
XGBOOST,ohlc,raw,short,0.849,-0.17788743288328127,0.6078431372549019,0.006955351133049136,-0.0015587169437128053,-0.07190149902971915,0.4859437751004016,0.02633870265563779,-0.0005232109338759865,experiments/experiment_volume_all_features/models/xgboost_short_ohlc_raw.pkl
LGBM,ohlc,raw,short,0.863,-0.011426456465327625,0.5473684210526316,0.01166704061027597,-9.847828617609052e-05,-0.09274095002102783,0.46875,0.02285589899869395,-0.0006283373472490883,experiments/experiment_volume_all_features/models/lgbm_short_ohlc_raw.pkl
