Model,InputType,FeatureType,Strategy,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Alpha
LGBM,ohlc,extended,long,0.09,58.95%,8.18%,0.082%,0.16,59.53%,4.9%,0.134%,0.63
LGBM,candle,raw,long,0.01,54.01%,8.02%,0.011%,0.08,57.74%,4.17%,0.073%,0.6
LGBM,candle,extended,long,0.38,61.13%,11.75%,0.366%,0.0,56.93%,9.09%,0.004%,0.61
LOGISTIC,ohlc,extended,long,0.14,58.41%,10.44%,0.145%,0.1,55.52%,11.13%,0.08%,0.66
XGBOOST,candle,extended,long,0.19,58.94%,8.81%,0.187%,0.03,55.41%,8.47%,0.027%,0.64
XGBOOST,ohlc,extended,long,0.12,58.67%,11.94%,0.117%,0.01,55.38%,11.07%,0.008%,0.61
LGBM,ohlc,raw,long,0.05,57.3%,8.6%,0.043%,0.03,55.18%,3.89%,0.022%,0.6
LOGISTIC,candle,extended,long,0.08,56.75%,11.59%,0.087%,0.06,54.42%,12.7%,0.049%,0.69
LOGISTIC,ohlc,raw,long,0.21,60.59%,9.37%,0.26%,0.02,54.08%,9.69%,0.016%,0.66
LOGISTIC,candle,raw,long,0.12,58.12%,11.88%,0.143%,0.01,54.07%,12.85%,0.01%,0.67
XGBOOST,ohlc,raw,long,0.13,55.25%,9.33%,0.103%,0.09,53.54%,2.92%,0.11%,0.59
XGBOOST,candle,raw,long,0.09,56.77%,9.19%,0.07%,-0.02,53.18%,5.93%,-0.015%,0.6
