Model,InputType,FeatureType,Strategy,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Alpha
LOGISTIC,candle,raw,short,0.35,56.36%,0.7%,0.481%,0.2,60.38%,0.7%,0.177%,0.94
XGBOOST,candle,extended,short,-0.06,57.63%,0.76%,-0.055%,0.16,58.16%,1.24%,0.161%,0.81
LOGISTIC,candle,extended,short,0.31,59.26%,0.72%,0.572%,0.07,56.6%,0.65%,0.054%,0.94
LGBM,candle,raw,short,-0.0,60.81%,1.01%,-0.004%,-0.07,54.9%,1.83%,-0.061%,0.82
XGBOOST,ohlc,extended,short,0.21,71.15%,1.66%,0.137%,0.1,54.27%,2.35%,0.067%,0.75
LGBM,ohlc,extended,short,0.1,60.81%,1.01%,0.079%,-0.04,54.1%,1.44%,-0.035%,0.79
LGBM,candle,extended,short,-0.01,60.22%,1.26%,-0.013%,-0.11,53.64%,1.28%,-0.12%,0.79
LOGISTIC,ohlc,extended,short,0.27,57.55%,1.37%,0.337%,0.07,53.51%,1.33%,0.051%,0.86
XGBOOST,candle,raw,short,0.2,56.86%,1.3%,0.169%,-0.02,52.09%,4.07%,-0.014%,0.78
LOGISTIC,ohlc,raw,short,0.19,53.23%,2.96%,0.195%,-0.05,51.13%,3.44%,-0.042%,0.81
XGBOOST,ohlc,raw,short,-0.18,60.78%,0.7%,-0.156%,-0.07,48.59%,2.63%,-0.052%,0.85
LGBM,ohlc,raw,short,-0.01,54.74%,1.17%,-0.01%,-0.09,46.88%,2.29%,-0.063%,0.86
